#cluster	node_ID	child_1	child_2	IC	IC_child_1	IC_child_2	Sites	Sites_child_1	Sites_child_2
cluster_1	42								
cluster_1	41								
cluster_1	38								
cluster_1	35								
cluster_1	27								
cluster_1	22								
cluster_1	23								
cluster_1	40								
cluster_1	37								
cluster_1	36								
cluster_1	33								
cluster_1	29								
cluster_1	18								
cluster_1	19								
cluster_1	2								
cluster_1	16								
cluster_1	28								
cluster_1	34								
cluster_1	31								
cluster_1	17								
cluster_1	4								
cluster_1	13								
cluster_1	24								
cluster_1	21								
cluster_1	12								
cluster_1	10								
cluster_1	8								
cluster_1	5								
cluster_1	1								
cluster_1	3								
cluster_1	11								
cluster_1	9								
cluster_1	6								
cluster_1	32								
cluster_1	26								
cluster_1	20								
cluster_1	7								
cluster_1	39								
cluster_1	15								
cluster_1	25								
cluster_1	14								
cluster_1	30								
