;level	cluster	node
1	jaspar_2022_nematodes_m23_MA0925.1,jaspar_2022_nematodes_m16_MA0918.1,jaspar_2022_nematodes_m12_MA0544.1,jaspar_2022_nematodes_m7_MA0538.1,jaspar_2022_nematodes_m6_MA0537.1,jaspar_2022_nematodes_m11_MA0543.1,jaspar_2022_nematodes_m15_MA0547.1,jaspar_2022_nematodes_m3_MA0262.1,jaspar_2022_nematodes_m43_MA1704.1,jaspar_2022_nematodes_m27_MA1438.1,jaspar_2022_nematodes_m33_MA1444.1,jaspar_2022_nematodes_m20_MA0922.1,jaspar_2022_nematodes_m4_MA0263.1,jaspar_2022_nematodes_m36_MA1448.1,jaspar_2022_nematodes_m39_MA1451.1,jaspar_2022_nematodes_m29_MA1440.1,jaspar_2022_nematodes_m18_MA0920.1,jaspar_2022_nematodes_m35_MA1446.1,jaspar_2022_nematodes_m14_MA0546.1,jaspar_2022_nematodes_m30_MA1441.1,jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1,jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1,jaspar_2022_nematodes_m31_MA1442.1,jaspar_2022_nematodes_m22_MA0924.1,jaspar_2022_nematodes_m32_MA1443.1,jaspar_2022_nematodes_m41_MA1701.1,jaspar_2022_nematodes_m10_MA0542.1,jaspar_2022_nematodes_m28_MA1439.1,jaspar_2022_nematodes_m42_MA1703.1,jaspar_2022_nematodes_m19_MA0921.1,jaspar_2022_nematodes_m34_MA1445.1,jaspar_2022_nematodes_m40_MA1699.1,jaspar_2022_nematodes_m24_MA0926.1,jaspar_2022_nematodes_m38_MA1450.1,jaspar_2022_nematodes_m1_MA0260.1,jaspar_2022_nematodes_m2_MA0261.1,jaspar_2022_nematodes_m5_MA0264.1,jaspar_2022_nematodes_m37_MA1449.1,jaspar_2022_nematodes_m13_MA0545.1,jaspar_2022_nematodes_m8_MA0540.1,jaspar_2022_nematodes_m9_MA0541.1	node_42
2	jaspar_2022_nematodes_m23_MA0925.1,jaspar_2022_nematodes_m16_MA0918.1,jaspar_2022_nematodes_m12_MA0544.1,jaspar_2022_nematodes_m7_MA0538.1,jaspar_2022_nematodes_m6_MA0537.1,jaspar_2022_nematodes_m11_MA0543.1,jaspar_2022_nematodes_m15_MA0547.1,jaspar_2022_nematodes_m3_MA0262.1,jaspar_2022_nematodes_m43_MA1704.1,jaspar_2022_nematodes_m27_MA1438.1,jaspar_2022_nematodes_m33_MA1444.1,jaspar_2022_nematodes_m20_MA0922.1,jaspar_2022_nematodes_m4_MA0263.1,jaspar_2022_nematodes_m36_MA1448.1,jaspar_2022_nematodes_m39_MA1451.1,jaspar_2022_nematodes_m29_MA1440.1,jaspar_2022_nematodes_m18_MA0920.1,jaspar_2022_nematodes_m35_MA1446.1,jaspar_2022_nematodes_m14_MA0546.1,jaspar_2022_nematodes_m30_MA1441.1,jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1,jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1,jaspar_2022_nematodes_m31_MA1442.1,jaspar_2022_nematodes_m22_MA0924.1,jaspar_2022_nematodes_m32_MA1443.1,jaspar_2022_nematodes_m41_MA1701.1,jaspar_2022_nematodes_m10_MA0542.1,jaspar_2022_nematodes_m28_MA1439.1,jaspar_2022_nematodes_m42_MA1703.1,jaspar_2022_nematodes_m19_MA0921.1,jaspar_2022_nematodes_m34_MA1445.1,jaspar_2022_nematodes_m40_MA1699.1,jaspar_2022_nematodes_m24_MA0926.1,jaspar_2022_nematodes_m38_MA1450.1,jaspar_2022_nematodes_m1_MA0260.1,jaspar_2022_nematodes_m2_MA0261.1,jaspar_2022_nematodes_m5_MA0264.1,jaspar_2022_nematodes_m37_MA1449.1,jaspar_2022_nematodes_m13_MA0545.1	node_41
3	jaspar_2022_nematodes_m23_MA0925.1,jaspar_2022_nematodes_m16_MA0918.1,jaspar_2022_nematodes_m12_MA0544.1,jaspar_2022_nematodes_m7_MA0538.1,jaspar_2022_nematodes_m6_MA0537.1,jaspar_2022_nematodes_m11_MA0543.1	node_38
4	jaspar_2022_nematodes_m23_MA0925.1,jaspar_2022_nematodes_m16_MA0918.1,jaspar_2022_nematodes_m12_MA0544.1,jaspar_2022_nematodes_m7_MA0538.1	node_35
5	jaspar_2022_nematodes_m23_MA0925.1,jaspar_2022_nematodes_m16_MA0918.1,jaspar_2022_nematodes_m12_MA0544.1	node_27
6	jaspar_2022_nematodes_m23_MA0925.1,jaspar_2022_nematodes_m16_MA0918.1	node_22
7	jaspar_2022_nematodes_m6_MA0537.1,jaspar_2022_nematodes_m11_MA0543.1	node_23
8	jaspar_2022_nematodes_m15_MA0547.1,jaspar_2022_nematodes_m3_MA0262.1,jaspar_2022_nematodes_m43_MA1704.1,jaspar_2022_nematodes_m27_MA1438.1,jaspar_2022_nematodes_m33_MA1444.1,jaspar_2022_nematodes_m20_MA0922.1,jaspar_2022_nematodes_m4_MA0263.1,jaspar_2022_nematodes_m36_MA1448.1,jaspar_2022_nematodes_m39_MA1451.1,jaspar_2022_nematodes_m29_MA1440.1,jaspar_2022_nematodes_m18_MA0920.1,jaspar_2022_nematodes_m35_MA1446.1,jaspar_2022_nematodes_m14_MA0546.1,jaspar_2022_nematodes_m30_MA1441.1,jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1,jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1,jaspar_2022_nematodes_m31_MA1442.1,jaspar_2022_nematodes_m22_MA0924.1,jaspar_2022_nematodes_m32_MA1443.1,jaspar_2022_nematodes_m41_MA1701.1,jaspar_2022_nematodes_m10_MA0542.1,jaspar_2022_nematodes_m28_MA1439.1,jaspar_2022_nematodes_m42_MA1703.1,jaspar_2022_nematodes_m19_MA0921.1,jaspar_2022_nematodes_m34_MA1445.1,jaspar_2022_nematodes_m40_MA1699.1,jaspar_2022_nematodes_m24_MA0926.1,jaspar_2022_nematodes_m38_MA1450.1,jaspar_2022_nematodes_m1_MA0260.1,jaspar_2022_nematodes_m2_MA0261.1,jaspar_2022_nematodes_m5_MA0264.1,jaspar_2022_nematodes_m37_MA1449.1,jaspar_2022_nematodes_m13_MA0545.1	node_40
9	jaspar_2022_nematodes_m15_MA0547.1,jaspar_2022_nematodes_m3_MA0262.1,jaspar_2022_nematodes_m43_MA1704.1,jaspar_2022_nematodes_m27_MA1438.1,jaspar_2022_nematodes_m33_MA1444.1,jaspar_2022_nematodes_m20_MA0922.1,jaspar_2022_nematodes_m4_MA0263.1,jaspar_2022_nematodes_m36_MA1448.1,jaspar_2022_nematodes_m39_MA1451.1,jaspar_2022_nematodes_m29_MA1440.1,jaspar_2022_nematodes_m18_MA0920.1,jaspar_2022_nematodes_m35_MA1446.1,jaspar_2022_nematodes_m14_MA0546.1,jaspar_2022_nematodes_m30_MA1441.1,jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1,jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1,jaspar_2022_nematodes_m31_MA1442.1,jaspar_2022_nematodes_m22_MA0924.1,jaspar_2022_nematodes_m32_MA1443.1,jaspar_2022_nematodes_m41_MA1701.1,jaspar_2022_nematodes_m10_MA0542.1,jaspar_2022_nematodes_m28_MA1439.1,jaspar_2022_nematodes_m42_MA1703.1,jaspar_2022_nematodes_m19_MA0921.1,jaspar_2022_nematodes_m34_MA1445.1,jaspar_2022_nematodes_m40_MA1699.1,jaspar_2022_nematodes_m24_MA0926.1,jaspar_2022_nematodes_m38_MA1450.1	node_37
10	jaspar_2022_nematodes_m15_MA0547.1,jaspar_2022_nematodes_m3_MA0262.1,jaspar_2022_nematodes_m43_MA1704.1,jaspar_2022_nematodes_m27_MA1438.1,jaspar_2022_nematodes_m33_MA1444.1,jaspar_2022_nematodes_m20_MA0922.1,jaspar_2022_nematodes_m4_MA0263.1,jaspar_2022_nematodes_m36_MA1448.1,jaspar_2022_nematodes_m39_MA1451.1	node_36
11	jaspar_2022_nematodes_m15_MA0547.1,jaspar_2022_nematodes_m3_MA0262.1,jaspar_2022_nematodes_m43_MA1704.1,jaspar_2022_nematodes_m27_MA1438.1,jaspar_2022_nematodes_m33_MA1444.1,jaspar_2022_nematodes_m20_MA0922.1,jaspar_2022_nematodes_m4_MA0263.1	node_33
12	jaspar_2022_nematodes_m15_MA0547.1,jaspar_2022_nematodes_m3_MA0262.1,jaspar_2022_nematodes_m43_MA1704.1,jaspar_2022_nematodes_m27_MA1438.1,jaspar_2022_nematodes_m33_MA1444.1,jaspar_2022_nematodes_m20_MA0922.1	node_29
13	jaspar_2022_nematodes_m15_MA0547.1,jaspar_2022_nematodes_m3_MA0262.1	node_18
14	jaspar_2022_nematodes_m43_MA1704.1,jaspar_2022_nematodes_m27_MA1438.1,jaspar_2022_nematodes_m33_MA1444.1,jaspar_2022_nematodes_m20_MA0922.1	node_19
15	jaspar_2022_nematodes_m43_MA1704.1,jaspar_2022_nematodes_m27_MA1438.1	node_2
16	jaspar_2022_nematodes_m33_MA1444.1,jaspar_2022_nematodes_m20_MA0922.1	node_16
17	jaspar_2022_nematodes_m36_MA1448.1,jaspar_2022_nematodes_m39_MA1451.1	node_28
18	jaspar_2022_nematodes_m29_MA1440.1,jaspar_2022_nematodes_m18_MA0920.1,jaspar_2022_nematodes_m35_MA1446.1,jaspar_2022_nematodes_m14_MA0546.1,jaspar_2022_nematodes_m30_MA1441.1,jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1,jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1,jaspar_2022_nematodes_m31_MA1442.1,jaspar_2022_nematodes_m22_MA0924.1,jaspar_2022_nematodes_m32_MA1443.1,jaspar_2022_nematodes_m41_MA1701.1,jaspar_2022_nematodes_m10_MA0542.1,jaspar_2022_nematodes_m28_MA1439.1,jaspar_2022_nematodes_m42_MA1703.1,jaspar_2022_nematodes_m19_MA0921.1,jaspar_2022_nematodes_m34_MA1445.1,jaspar_2022_nematodes_m40_MA1699.1,jaspar_2022_nematodes_m24_MA0926.1,jaspar_2022_nematodes_m38_MA1450.1	node_34
19	jaspar_2022_nematodes_m29_MA1440.1,jaspar_2022_nematodes_m18_MA0920.1,jaspar_2022_nematodes_m35_MA1446.1,jaspar_2022_nematodes_m14_MA0546.1,jaspar_2022_nematodes_m30_MA1441.1,jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1,jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1,jaspar_2022_nematodes_m31_MA1442.1,jaspar_2022_nematodes_m22_MA0924.1,jaspar_2022_nematodes_m32_MA1443.1,jaspar_2022_nematodes_m41_MA1701.1,jaspar_2022_nematodes_m10_MA0542.1,jaspar_2022_nematodes_m28_MA1439.1,jaspar_2022_nematodes_m42_MA1703.1	node_31
20	jaspar_2022_nematodes_m29_MA1440.1,jaspar_2022_nematodes_m18_MA0920.1,jaspar_2022_nematodes_m35_MA1446.1,jaspar_2022_nematodes_m14_MA0546.1	node_17
21	jaspar_2022_nematodes_m29_MA1440.1,jaspar_2022_nematodes_m18_MA0920.1	node_4
22	jaspar_2022_nematodes_m35_MA1446.1,jaspar_2022_nematodes_m14_MA0546.1	node_13
23	jaspar_2022_nematodes_m30_MA1441.1,jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1,jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1,jaspar_2022_nematodes_m31_MA1442.1,jaspar_2022_nematodes_m22_MA0924.1,jaspar_2022_nematodes_m32_MA1443.1,jaspar_2022_nematodes_m41_MA1701.1,jaspar_2022_nematodes_m10_MA0542.1,jaspar_2022_nematodes_m28_MA1439.1,jaspar_2022_nematodes_m42_MA1703.1	node_24
24	jaspar_2022_nematodes_m30_MA1441.1,jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1,jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1,jaspar_2022_nematodes_m31_MA1442.1,jaspar_2022_nematodes_m22_MA0924.1,jaspar_2022_nematodes_m32_MA1443.1	node_21
25	jaspar_2022_nematodes_m30_MA1441.1,jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1,jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1,jaspar_2022_nematodes_m31_MA1442.1,jaspar_2022_nematodes_m22_MA0924.1	node_12
26	jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1,jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1,jaspar_2022_nematodes_m31_MA1442.1,jaspar_2022_nematodes_m22_MA0924.1	node_10
27	jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1,jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1,jaspar_2022_nematodes_m31_MA1442.1	node_8
28	jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1,jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1	node_5
29	jaspar_2022_nematodes_m17_MA0919.1,jaspar_2022_nematodes_m26_MA0928.1	node_1
30	jaspar_2022_nematodes_m25_MA0927.1,jaspar_2022_nematodes_m21_MA0923.1	node_3
