merged_ID	child_1	child_2
node_1	jaspar_2022_nematodes_m17_MA0919.1	jaspar_2022_nematodes_m26_MA0928.1
node_2	jaspar_2022_nematodes_m27_MA1438.1	jaspar_2022_nematodes_m43_MA1704.1
node_3	jaspar_2022_nematodes_m21_MA0923.1	jaspar_2022_nematodes_m25_MA0927.1
node_4	jaspar_2022_nematodes_m18_MA0920.1	jaspar_2022_nematodes_m29_MA1440.1
node_5	node_1	node_3
node_6	jaspar_2022_nematodes_m10_MA0542.1	jaspar_2022_nematodes_m41_MA1701.1
node_7	jaspar_2022_nematodes_m19_MA0921.1	jaspar_2022_nematodes_m34_MA1445.1
node_8	jaspar_2022_nematodes_m31_MA1442.1	node_5
node_9	jaspar_2022_nematodes_m28_MA1439.1	node_6
node_10	jaspar_2022_nematodes_m22_MA0924.1	node_8
node_11	jaspar_2022_nematodes_m42_MA1703.1	node_9
node_12	jaspar_2022_nematodes_m30_MA1441.1	node_10
node_13	jaspar_2022_nematodes_m14_MA0546.1	jaspar_2022_nematodes_m35_MA1446.1
node_14	jaspar_2022_nematodes_m37_MA1449.1	jaspar_2022_nematodes_m5_MA0264.1
node_15	jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m2_MA0261.1
node_16	jaspar_2022_nematodes_m20_MA0922.1	jaspar_2022_nematodes_m33_MA1444.1
node_17	node_4	node_13
node_18	jaspar_2022_nematodes_m15_MA0547.1	jaspar_2022_nematodes_m3_MA0262.1
node_19	node_2	node_16
node_20	jaspar_2022_nematodes_m40_MA1699.1	node_7
node_21	jaspar_2022_nematodes_m32_MA1443.1	node_12
node_22	jaspar_2022_nematodes_m16_MA0918.1	jaspar_2022_nematodes_m23_MA0925.1
node_23	jaspar_2022_nematodes_m11_MA0543.1	jaspar_2022_nematodes_m6_MA0537.1
node_24	node_11	node_21
node_25	jaspar_2022_nematodes_m13_MA0545.1	node_14
node_26	jaspar_2022_nematodes_m24_MA0926.1	node_20
node_27	jaspar_2022_nematodes_m12_MA0544.1	node_22
node_28	jaspar_2022_nematodes_m36_MA1448.1	jaspar_2022_nematodes_m39_MA1451.1
node_29	node_18	node_19
node_30	jaspar_2022_nematodes_m8_MA0540.1	jaspar_2022_nematodes_m9_MA0541.1
node_31	node_17	node_24
node_32	jaspar_2022_nematodes_m38_MA1450.1	node_26
node_33	jaspar_2022_nematodes_m4_MA0263.1	node_29
node_34	node_31	node_32
node_35	jaspar_2022_nematodes_m7_MA0538.1	node_27
node_36	node_28	node_33
node_37	node_34	node_36
node_38	node_23	node_35
node_39	node_15	node_25
node_40	node_37	node_39
node_41	node_38	node_40
node_42	node_30	node_41
