	jaspar_2022_nematodes_m10_MA0542.1	jaspar_2022_nematodes_m11_MA0543.1	jaspar_2022_nematodes_m12_MA0544.1	jaspar_2022_nematodes_m13_MA0545.1	jaspar_2022_nematodes_m14_MA0546.1	jaspar_2022_nematodes_m15_MA0547.1	jaspar_2022_nematodes_m16_MA0918.1	jaspar_2022_nematodes_m17_MA0919.1	jaspar_2022_nematodes_m18_MA0920.1	jaspar_2022_nematodes_m19_MA0921.1	jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m20_MA0922.1	jaspar_2022_nematodes_m21_MA0923.1	jaspar_2022_nematodes_m22_MA0924.1	jaspar_2022_nematodes_m23_MA0925.1	jaspar_2022_nematodes_m24_MA0926.1	jaspar_2022_nematodes_m25_MA0927.1	jaspar_2022_nematodes_m26_MA0928.1	jaspar_2022_nematodes_m27_MA1438.1	jaspar_2022_nematodes_m28_MA1439.1	jaspar_2022_nematodes_m29_MA1440.1	jaspar_2022_nematodes_m2_MA0261.1	jaspar_2022_nematodes_m30_MA1441.1	jaspar_2022_nematodes_m31_MA1442.1	jaspar_2022_nematodes_m32_MA1443.1	jaspar_2022_nematodes_m33_MA1444.1	jaspar_2022_nematodes_m34_MA1445.1	jaspar_2022_nematodes_m35_MA1446.1	jaspar_2022_nematodes_m36_MA1448.1	jaspar_2022_nematodes_m37_MA1449.1	jaspar_2022_nematodes_m38_MA1450.1	jaspar_2022_nematodes_m39_MA1451.1	jaspar_2022_nematodes_m3_MA0262.1	jaspar_2022_nematodes_m40_MA1699.1	jaspar_2022_nematodes_m41_MA1701.1	jaspar_2022_nematodes_m42_MA1703.1	jaspar_2022_nematodes_m43_MA1704.1	jaspar_2022_nematodes_m4_MA0263.1	jaspar_2022_nematodes_m5_MA0264.1	jaspar_2022_nematodes_m6_MA0537.1	jaspar_2022_nematodes_m7_MA0538.1	jaspar_2022_nematodes_m8_MA0540.1	jaspar_2022_nematodes_m9_MA0541.1
jaspar_2022_nematodes_m10_MA0542.1	0	0.776772	0.837657	0.804424	0.6028	0.589411	0.664924	0.569728	0.613674	0.662709	0.738086	0.642249	0.528795	0.513687	0.778251	0.724504	0.540905	0.606847	0.617339	0.243152	0.497802	0.740357	0.684116	0.58882	0.562413	0.689119	0.707574	0.692825	0.739047	0.729372	0.825194	0.752029	0.757471	0.710824	0.236502	0.290656	0.70541	0.793045	0.745811	0.679715	0.886571	0.837872	0.833421
jaspar_2022_nematodes_m11_MA0543.1	0.776772	0	0.648386	0.818509	0.728796	0.669614	0.746333	0.926287	0.793235	0.854174	0.793058	0.899946	0.904877	0.844811	0.660702	0.74506	0.895809	0.86501	0.792534	0.778935	0.787171	0.856847	0.823346	0.944787	0.87867	0.777929	0.833344	0.767458	0.754337	0.824594	0.758863	0.87539	0.845016	0.69228	0.671372	0.758722	0.819877	0.817407	0.813093	0.560351	0.723366	0.742217	0.786418
jaspar_2022_nematodes_m12_MA0544.1	0.837657	0.648386	0	0.583968	0.745711	0.715038	0.647221	0.920216	0.739117	0.661073	0.728365	0.900458	0.910234	0.899684	0.568089	0.860052	0.913412	0.923355	0.667002	0.798662	0.799183	0.790004	0.884124	0.925469	0.893652	0.787614	0.786359	0.708285	0.757053	0.781402	0.901409	0.7606	0.699709	0.849268	0.815496	0.737635	0.685856	0.812019	0.742087	0.799162	0.694159	0.842441	0.725013
jaspar_2022_nematodes_m13_MA0545.1	0.804424	0.818509	0.583968	0	0.749303	0.657079	0.605257	0.812499	0.63883	0.783697	0.802941	0.874556	0.830471	0.860018	0.728549	0.865694	0.856476	0.844829	0.756321	0.738609	0.654393	0.609932	0.86094	0.806628	0.867796	0.8691	0.807642	0.67067	0.761664	0.516392	0.82378	0.725053	0.728438	0.834283	0.810811	0.697037	0.756807	0.835158	0.639683	0.822089	0.837027	0.894106	0.854256
jaspar_2022_nematodes_m14_MA0546.1	0.6028	0.728796	0.745711	0.749303	0	0.712463	0.71541	0.672333	0.430162	0.667356	0.740916	0.604399	0.590138	0.579446	0.654433	0.56571	0.672592	0.649036	0.758313	0.687271	0.533704	0.721515	0.640993	0.618785	0.765067	0.739877	0.818862	0.374922	0.582932	0.837981	0.624152	0.614042	0.625311	0.694814	0.673421	0.636341	0.702928	0.671792	0.817864	0.587108	0.627517	0.785553	0.762973
jaspar_2022_nematodes_m15_MA0547.1	0.589411	0.669614	0.715038	0.657079	0.712463	0	0.567003	0.742507	0.704192	0.745628	0.855304	0.680522	0.753351	0.769636	0.735346	0.730128	0.750373	0.734522	0.602848	0.59622	0.729212	0.837574	0.740096	0.764358	0.709041	0.615786	0.692661	0.654184	0.736349	0.792547	0.766927	0.639104	0.479201	0.614426	0.610212	0.548872	0.593185	0.573264	0.82171	0.63987	0.879845	0.875704	0.761338
jaspar_2022_nematodes_m16_MA0918.1	0.664924	0.746333	0.647221	0.605257	0.71541	0.567003	0	0.832455	0.708407	0.799643	0.796631	0.749598	0.803538	0.718553	0.516496	0.853083	0.771925	0.828109	0.50045	0.597193	0.651773	0.813765	0.806413	0.81035	0.82423	0.778307	0.812119	0.688986	0.725227	0.727264	0.755123	0.544396	0.733632	0.812647	0.595647	0.514171	0.525337	0.836978	0.738215	0.619214	0.812953	0.829478	0.846693
jaspar_2022_nematodes_m17_MA0919.1	0.569728	0.926287	0.920216	0.812499	0.672333	0.742507	0.832455	0	0.635312	0.585618	0.919959	0.614048	0.124511	0.380344	0.856306	0.787737	0.243911	0.122441	0.769686	0.526311	0.706272	0.875964	0.277096	0.262065	0.531005	0.6538	0.727937	0.656518	0.779397	0.86185	0.629325	0.839824	0.832232	0.71541	0.573816	0.486554	0.728439	0.598416	0.652674	0.815841	0.951427	0.900352	0.821947
jaspar_2022_nematodes_m18_MA0920.1	0.613674	0.793235	0.739117	0.63883	0.430162	0.704192	0.708407	0.635312	0	0.657054	0.658804	0.627236	0.558937	0.454905	0.649551	0.498738	0.513431	0.65048	0.791499	0.44842	0.204801	0.519273	0.699362	0.616082	0.489904	0.749168	0.771645	0.369992	0.759574	0.799321	0.802262	0.752359	0.686444	0.736203	0.680078	0.653469	0.737471	0.724388	0.783219	0.782687	0.741241	0.892556	0.83283
jaspar_2022_nematodes_m19_MA0921.1	0.662709	0.854174	0.661073	0.783697	0.667356	0.745628	0.799643	0.585618	0.657054	0	0.795186	0.67513	0.550515	0.626027	0.782138	0.534636	0.629037	0.591969	0.825488	0.570606	0.712405	0.787192	0.620064	0.515321	0.656938	0.712448	0.238585	0.783786	0.726566	0.882402	0.727043	0.77154	0.775339	0.523229	0.614166	0.49106	0.771921	0.679917	0.741032	0.680593	0.912566	0.766984	0.874983
jaspar_2022_nematodes_m1_MA0260.1	0.738086	0.793058	0.728365	0.802941	0.740916	0.855304	0.796631	0.919959	0.658804	0.795186	0	0.843615	0.887277	0.814476	0.727678	0.786787	0.852497	0.855122	0.743757	0.717083	0.683865	0.425504	0.843266	0.864291	0.594947	0.715527	0.762039	0.753362	0.679784	0.809854	0.80463	0.716621	0.767695	0.834277	0.777093	0.804592	0.783539	0.626783	0.739887	0.720504	0.841655	0.83285	0.749312
jaspar_2022_nematodes_m20_MA0922.1	0.642249	0.899946	0.900458	0.874556	0.604399	0.680522	0.749598	0.614048	0.627236	0.67513	0.843615	0	0.578593	0.607428	0.858147	0.62162	0.616833	0.582989	0.442057	0.681937	0.652059	0.773499	0.587257	0.427073	0.618267	0.430437	0.777481	0.691399	0.634911	0.614816	0.761371	0.703675	0.593888	0.719496	0.697293	0.696621	0.435902	0.707626	0.742717	0.761058	0.81969	0.836884	0.86842
jaspar_2022_nematodes_m21_MA0923.1	0.528795	0.904877	0.910234	0.830471	0.590138	0.753351	0.803538	0.124511	0.558937	0.550515	0.887277	0.578593	0	0.244811	0.819816	0.786784	0.148415	0.208337	0.725814	0.480935	0.647283	0.886481	0.282383	0.234652	0.462668	0.607913	0.724095	0.65708	0.754248	0.846108	0.596222	0.777782	0.813499	0.729878	0.552015	0.556931	0.681854	0.567334	0.627446	0.768249	0.921216	0.847915	0.788759
jaspar_2022_nematodes_m22_MA0924.1	0.513687	0.844811	0.899684	0.860018	0.579446	0.769636	0.718553	0.380344	0.454905	0.626027	0.814476	0.607428	0.244811	0	0.829706	0.7407	0.189436	0.420636	0.692018	0.413382	0.608006	0.825757	0.409262	0.286708	0.514094	0.516574	0.699863	0.637079	0.752923	0.781237	0.639293	0.785759	0.763421	0.726405	0.610787	0.621143	0.605825	0.671308	0.72212	0.721469	0.893304	0.765689	0.799153
jaspar_2022_nematodes_m23_MA0925.1	0.778251	0.660702	0.568089	0.728549	0.654433	0.735346	0.516496	0.856306	0.649551	0.782138	0.727678	0.858147	0.819816	0.829706	0	0.758291	0.86328	0.822173	0.713674	0.714571	0.675794	0.810396	0.808697	0.881102	0.820461	0.817961	0.83701	0.552868	0.702547	0.809715	0.82503	0.704081	0.726645	0.812019	0.751022	0.673945	0.780266	0.819899	0.756999	0.738164	0.576599	0.767728	0.777353
jaspar_2022_nematodes_m24_MA0926.1	0.724504	0.74506	0.860052	0.865694	0.56571	0.730128	0.853083	0.787737	0.498738	0.534636	0.786787	0.62162	0.786784	0.7407	0.758291	0	0.719435	0.761525	0.83932	0.71364	0.71726	0.729316	0.732825	0.59145	0.654878	0.726234	0.561031	0.709395	0.701219	0.844029	0.645247	0.849056	0.70891	0.685725	0.635629	0.721645	0.795723	0.759438	0.844944	0.769777	0.732637	0.836598	0.90689
