;mode: matches	thresholds:	cor=-1.000000	ncor=-1.000000	w=0	ncor1=-1.000000	ncor2=-1.000000
#id1	id2	name1	name2	cor	Ncor	Ncor1	Ncor2	w1	w2	w	W	Wr	wr1	wr2	strand	offset	uncounted
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0260.1_n1	che-1	che-1	1.000000	1.000000	1.000000	1.000000	6	6	6	6	1.000000	1.000000	1.000000	D	0	21
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0261.1_n2	che-1	lin-14	0.574830	0.574830	0.574830	0.574830	6	6	6	6	1.000000	1.000000	1.000000	D	0	21
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0262.1_n3	che-1	mab-3	0.503328	0.232305	0.503328	0.232305	6	13	6	13	0.461538	1.000000	0.461538	R	-5	35
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0263.1_n4	che-1	ceh-10::ttx-3	0.870839	0.373217	0.870839	0.373217	6	14	6	14	0.428571	1.000000	0.428571	R	-5	37
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0264.1_n5	che-1	ceh-22	0.848389	0.261043	0.565593	0.308505	6	11	4	13	0.307692	0.666667	0.363636	D	-7	31
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0537.1_n6	che-1	blmp-1	0.670791	0.279496	0.558993	0.304905	6	11	5	12	0.416667	0.833333	0.454545	D	-6	31
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0538.1_n7	che-1	daf-12	0.395862	0.158345	0.395862	0.158345	6	15	6	15	0.400000	1.000000	0.400000	R	0	39
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0540.1_n8	che-1	dpy-27	0.752174	0.167150	0.501449	0.188043	6	16	4	18	0.222222	0.666667	0.250000	R	-12	41
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0541.1_n9	che-1	efl-1	0.626720	0.250688	0.626720	0.250688	6	15	6	15	0.400000	1.000000	0.400000	D	-9	39
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0542.1_n10	che-1	elt-3	0.349219	0.261914	0.349219	0.261914	6	8	6	8	0.750000	1.000000	0.750000	R	-1	25
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0543.1_n11	che-1	eor-1	0.517354	0.206942	0.517354	0.206942	6	15	6	15	0.400000	1.000000	0.400000	D	-5	39
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0544.1_n12	che-1	snpc-4	0.543271	0.271635	0.543271	0.271635	6	12	6	12	0.500000	1.000000	0.500000	R	-1	33
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0545.1_n13	che-1	hlh-1	0.472942	0.197059	0.394119	0.214974	6	11	5	12	0.416667	0.833333	0.454545	D	1	31
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0546.1_n14	che-1	pha-4	0.431806	0.259084	0.431806	0.259084	6	10	6	10	0.600000	1.000000	0.600000	D	-4	29
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0547.1_n15	che-1	skn-1	0.361740	0.144696	0.361740	0.144696	6	15	6	15	0.400000	1.000000	0.400000	D	-8	39
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0918.1_n16	che-1	unc-62	0.406802	0.203401	0.406802	0.203401	6	12	6	12	0.500000	1.000000	0.500000	R	-4	33
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0919.1_n17	che-1	dsc-1	0.239895	0.079965	0.159930	0.095958	6	10	4	12	0.333333	0.666667	0.400000	D	-6	29
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0920.1_n18	che-1	fkh-2	0.454938	0.341203	0.454938	0.341203	6	8	6	8	0.750000	1.000000	0.750000	D	-1	25
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0921.1_n19	che-1	ceh-48	0.562978	0.204719	0.375319	0.250213	6	9	4	11	0.363636	0.666667	0.444444	R	-5	27
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0922.1_n20	che-1	ces-2	0.429820	0.156298	0.286547	0.191031	6	9	4	11	0.363636	0.666667	0.444444	D	-5	27
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0923.1_n21	che-1	lim-4	0.451151	0.112788	0.225576	0.150384	6	9	3	12	0.250000	0.500000	0.333333	D	-6	27
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0924.1_n22	che-1	pal-1	0.247405	0.185554	0.247405	0.185554	6	8	6	8	0.750000	1.000000	0.750000	D	0	25
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0925.1_n23	che-1	sma-4	0.499256	0.272322	0.499256	0.272322	6	11	6	11	0.545455	1.000000	0.545455	R	-5	31
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0926.1_n24	che-1	unc-86	0.383785	0.213214	0.319821	0.239865	6	8	5	9	0.555556	0.833333	0.625000	R	1	25
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0927.1_n25	che-1	vab-7	0.540893	0.147516	0.270446	0.202835	6	8	3	11	0.272727	0.500000	0.375000	D	-5	25
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA0928.1_n26	che-1	zfh-2	0.347532	0.144805	0.289610	0.157969	6	11	5	12	0.416667	0.833333	0.454545	R	-6	31
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA1438.1_n27	che-1	atf-7	0.427105	0.256263	0.427105	0.256263	6	10	6	10	0.600000	1.000000	0.600000	D	-3	29
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA1439.1_n28	che-1	elt-6	0.377211	0.282908	0.377211	0.282908	6	8	6	8	0.750000	1.000000	0.750000	D	-2	25
JASPAR_nematodes_MA0260.1_n1	JASPAR_nematodes_MA1440.1_n29	che-1	fkh-9	0.421643	0.316233	0.421643	0.316233	6	8	6	8	0.750000	1.000000	0.750000	D	-1	25
