;mode: matches	thresholds:	cor=-1.000000	ncor=-1.000000	w=0	ncor1=-1.000000	ncor2=-1.000000
#id1	id2	name1	name2	cor	Ncor	Ncor1	Ncor2	w1	w2	w	W	Wr	wr1	wr2	strand	offset	uncounted
jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m1_MA0260.1	che-1	che-1	1.000000	1.000000	1.000000	1.000000	6	6	6	6	1.000000	1.000000	1.000000	D	0	21
jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m2_MA0261.1	che-1	lin-14	0.574496	0.574496	0.574496	0.574496	6	6	6	6	1.000000	1.000000	1.000000	D	0	21
jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m3_MA0262.1	che-1	mab-3	0.503328	0.232305	0.503328	0.232305	6	13	6	13	0.461538	1.000000	0.461538	R	-5	35
jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m4_MA0263.1	che-1	ceh-10::ttx-3	0.870839	0.373217	0.870839	0.373217	6	14	6	14	0.428571	1.000000	0.428571	R	-5	37
jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m5_MA0264.1	che-1	ceh-22	0.845366	0.260113	0.563577	0.307406	6	11	4	13	0.307692	0.666667	0.363636	D	-7	31
jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m6_MA0537.1	che-1	blmp-1	0.670791	0.279496	0.558993	0.304905	6	11	5	12	0.416667	0.833333	0.454545	D	-6	31
jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m7_MA0538.1	che-1	daf-12	0.395862	0.158345	0.395862	0.158345	6	15	6	15	0.400000	1.000000	0.400000	R	0	39
jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m8_MA0540.1	che-1	dpy-27	0.752174	0.167150	0.501449	0.188043	6	16	4	18	0.222222	0.666667	0.250000	R	-12	41
jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m9_MA0541.1	che-1	efl-1	0.626720	0.250688	0.626720	0.250688	6	15	6	15	0.400000	1.000000	0.400000	D	-9	39
jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m10_MA0542.1	che-1	elt-3	0.349219	0.261914	0.349219	0.261914	6	8	6	8	0.750000	1.000000	0.750000	R	-1	25
jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m11_MA0543.1	che-1	eor-1	0.517354	0.206942	0.517354	0.206942	6	15	6	15	0.400000	1.000000	0.400000	D	-5	39
jaspar_2022_nematodes_m1_MA0260.1	jaspar_2022_nematodes_m12_MA0544.1	che-1	snpc-4	0.543271	0.271635	0.543271	0.271635	6	12	6	12	0.500000	1.000000	0.500000	R	-1	33
